year,boys,girls
1,1629,5218
2,1630,4858
3,1631,4422
4,1632,4994
5,1633,5158
6,1634,5035
7,1635,5106
8,1636,4917
9,1637,4703
10,1638,5359
11,1639,5366
12,1640,5518
13,1641,5470
14,1642,5460
15,1643,4793
16,1644,4107
17,1645,4047
18,1646,3768
19,1647,3796
20,1648,3363
21,1649,3079
22,1650,2890
23,1651,3231
24,1652,3220
25,1653,3196
26,1654,3441
27,1655,3655
28,1656,3668
29,1657,3396
30,1658,3157
31,1659,3209
32,1660,3724
33,1661,4748
34,1662,5216
35,1663,5411
36,1664,6041
37,1665,5114
38,1666,4678
39,1667,5616
40,1668,6073
41,1669,6506
42,1670,6278
43,1671,6449
44,1672,6443
45,1673,6073
46,1674,6113
47,1675,6058
48,1676,6552
49,1677,6423
50,1678,6568
51,1679,6247
52,1680,6548
53,1681,6822
54,1682,6909
55,1683,7577
56,1684,7575
57,1685,7484
58,1686,7575
59,1687,7737
60,1688,7487
61,1689,7604
62,1690,7909
63,1691,7662
64,1692,7602
65,1693,7676
66,1694,6985
67,1695,7263
68,1696,7632
69,1697,8062
70,1698,8426
71,1699,7911
72,1700,7578
73,1701,8102
74,1702,8031
75,1703,7765
76,1704,6113
77,1705,8366
78,1706,7952
79,1707,8379
80,1708,8239
81,1709,7840
82,1710,7640
